trial,seed,base_duration,imp_duration,min_cost,base_cost,imp_cost
0,708951993526,5604,888,1.0265823043959306E8,1.2926974024351478E8,1.0914038730233824E8
1,721902205369,5652,1066,1.0486702667939818E8,1.3253696785586873E8,1.114756933460647E8
2,722073799967,5973,869,1.0487435017052928E8,1.3212740899405849E8,1.113166835038625E8
3,722234217073,6103,966,1.084664463250791E8,1.353081914231181E8,1.1496326985449094E8
4,722307238241,6116,1013,1.1118320282640001E8,1.389614185126745E8,1.1761522243424323E8
5,722366821827,6073,968,1.0834010300113027E8,1.3612990692269894E8,1.150816324128951E8
6,722416245636,5566,950,1.0348656375467749E8,1.2898205395075615E8,1.0981201473506947E8
7,722459452578,6409,891,1.089139003121712E8,1.3726303756707335E8,1.1527786109648499E8
8,722499634707,6086,716,1.0775531272050029E8,1.3388760683814766E8,1.1369688134795144E8
9,722552417054,5742,719,1.065446840586861E8,1.3268611543123505E8,1.1244605660770585E8
10,722595435165,5922,992,1.0739069083762608E8,1.341342006415477E8,1.137985927984104E8
11,722638895990,5503,732,9.99678253066399E7,1.2670168805173793E8,1.059232762870322E8
12,722684565674,5472,800,1.0821988117606509E8,1.351376458819473E8,1.143773517643004E8
13,722729032889,6024,932,1.1154491938138993E8,1.379933115382527E8,1.1752031153825252E8
14,722769208958,5753,865,1.0389918737057795E8,1.30542775605872E8,1.1026120697842109E8
15,722810659607,5602,912,1.0386277145339401E8,1.2961984988476655E8,1.1000079106123708E8
16,722853571593,5886,796,9.900697277606533E7,1.2431042375645746E8,1.0493985512900645E8
17,722902210922,5765,915,1.0343512626495165E8,1.3018522430416727E8,1.0941955763750073E8
18,722945555794,5471,687,1.0337131994878566E8,1.2826281014486407E8,1.091359866154521E8
19,722984879563,6154,937,1.0411771034064241E8,1.3209753387005436E8,1.1032125936025058E8
20,723025520195,6486,884,1.0396342262587892E8,1.3176544223372222E8,1.1049575595921224E8
21,723069251943,5778,852,1.0636846512402599E8,1.3401203375147678E8,1.1252489649657483E8
22,723111835824,5861,905,1.0088964650592494E8,1.2712137199612097E8,1.0720307787847386E8
23,723168747250,6184,805,1.02554958598727E8,1.3088678212813893E8,1.0899786055951136E8
24,723212441696,5931,806,1.1243773136073777E8,1.41809064694071E8,1.1912743724309053E8
25,723263098847,6118,994,1.047596190130574E8,1.3228144254246914E8,1.1117436411109672E8
26,723307252115,6498,920,1.0526763377887598E8,1.3404628083769941E8,1.1195937887691517E8
27,723352412434,5733,969,1.0285528688503577E8,1.2806597315954581E8,1.0888677708111426E8
28,723402564125,5776,817,1.0331412688540284E8,1.3019075433638333E8,1.0915912688540298E8
29,723440659919,6431,990,1.0550826387351456E8,1.3426279328527915E8,1.1204500897155362E8
30,723482366773,5818,888,1.0790942946363527E8,1.3573019416951776E8,1.143907235812824E8
31,723525846515,5781,937,1.0562334230527261E8,1.344725579915472E8,1.1224642073664519E8
32,723567326972,5900,832,1.0405062532987355E8,1.2930929199654025E8,1.1009888023183428E8
33,723609469395,5724,751,1.026042736514261E8,1.2837143051417118E8,1.0861974423966141E8
34,723648255415,5880,913,1.1130059554123397E8,1.390317327961359E8,1.1781516416868494E8
35,723689574017,5655,756,1.0285298517927532E8,1.2711671066947174E8,1.0846859302241278E8
36,723724786565,5263,882,1.028133055805418E8,1.2790256048250258E8,1.0904038401191452E8
37,723760482110,5549,788,1.0231614962970452E8,1.2820879668852821E8,1.0854958100225371E8
38,723797588123,6052,917,1.0441473883739908E8,1.319392682491639E8,1.106421702099481E8
39,723839496481,6027,918,1.0652209919623022E8,1.3423133449034795E8,1.1280958939230868E8
40,723876718773,6111,1035,1.0616860455815008E8,1.3336797710716957E8,1.125651927934442E8
41,723926925595,5587,819,1.0552587489680018E8,1.3146852195562363E8,1.1170642391640808E8
42,723966972789,5999,914,1.0677625056784767E8,1.3513072115608296E8,1.1307962311686724E8
43,724006564830,5442,804,9.760336565431988E7,1.2148893428177103E8,1.0323877741902587E8
44,724042462916,6372,1093,1.0849100499339344E8,1.3719608342476577E8,1.1524431871888348E8
45,724083900009,5759,773,1.108428584161156E8,1.3803691723964494E8,1.17404779984743E8
46,724121264803,5981,938,1.042093927719132E8,1.3132564767387387E8,1.1040827512485427E8
47,724155389473,6195,898,1.0893200278206111E8,1.393141400369632E8,1.1538543415461017E8
48,724197584886,5578,897,1.0940326451171623E8,1.355784213744614E8,1.1546099000191243E8
49,724239729835,5623,926,1.0739709838449898E8,1.3269725524724403E8,1.134689219139106E8
50,724272925332,6211,818,1.1065299301581834E8,1.3894130674130833E8,1.169444047805241E8
51,724318638086,6302,939,1.0418409447667195E8,1.3247166310412301E8,1.107264278100052E8
52,724363317912,6121,835,1.0659231710927485E8,1.3347059161907893E8,1.1284308181515719E8
53,724397618684,5862,845,1.042848770352423E8,1.318278182117129E8,1.1053495546661481E8
54,724437908984,5822,756,1.094505085143355E8,1.365930183182569E8,1.1576666537708057E8
55,724474558049,5712,897,1.0191961992509401E8,1.2834752188587838E8,1.0836607090548617E8
56,724522721468,5665,845,1.0622859896985078E8,1.3308103034239976E8,1.1253240289141935E8
57,724556861830,5937,829,1.0992453530144052E8,1.3508267255634242E8,1.160255156935973E8
58,724592013905,5611,762,1.0422590684558977E8,1.3039559312009966E8,1.1012267155147216E8
59,724627494937,5721,790,1.0879021867626666E8,1.3521696377430585E8,1.1505772848018838E8
60,724663672386,5880,834,1.115367557669698E8,1.3907850086500892E8,1.1784473615912652E8
61,724704107984,5936,985,1.0821932507937534E8,1.3499371723623815E8,1.1451332507937548E8
62,724744224531,5918,863,1.1291491616863665E8,1.4136022989412683E8,1.196524063647152E8
63,724780793559,6350,873,1.1199619791061914E8,1.405787077145408E8,1.1864704104787403E8
64,724817997004,6047,777,1.0977300239919417E8,1.3738419847762567E8,1.1628661024233146E8
65,724857552853,6073,1009,1.109231186008698E8,1.388294323263601E8,1.177150597773405E8
66,724894581267,5455,816,1.0652944295891763E8,1.3342903119421192E8,1.1287881550793733E8
67,724930259599,5616,826,1.0129682021660236E8,1.2701893786366138E8,1.0729717315777873E8
68,724964106569,6472,1008,1.0096452763833226E8,1.2866858646186161E8,1.0741968450107726E8
69,725008263749,6237,875,1.1171458676907559E8,1.3974103774946788E8,1.1797801814162461E8
70,725048988494,6064,902,1.0221756865116858E8,1.2855398041587445E8,1.083081568864627E8
71,725088141395,5880,830,1.0611809926704916E8,1.3360921691410805E8,1.1226088358077466E8
72,725130245427,5836,893,1.0355374995266353E8,1.2825682838403615E8,1.0972861269776164E8
73,725169664492,5840,829,1.1017843002748606E8,1.3753319473336858E8,1.1645437120395678E8
74,725206260965,5971,782,1.0314878820263377E8,1.3058459212420249E8,1.09297533300673E8
